Date,Unhedged_Portfolio_Value,Hedged_Portfolio_Value,Daily_Hedge_Ratio
2020-08-07,100000.0,100000.0,294.51214366512585
2020-08-10,100613.15061993514,100272.82668317138,295.43497230591095
2020-08-11,100361.1303102784,100781.03831226093,297.14770163402954
2020-08-12,101124.06652962722,100258.02444486458,295.28964552252734
2020-08-13,100898.6815860835,100200.83796274786,295.1650364825254
2020-08-14,100975.579737375,100274.47591107701,295.38122499418046
2020-08-17,100942.1276128622,99949.01786155588,294.348365029528
2020-08-18,100909.4185199992,99718.53398969834,293.6186960349615
2020-08-19,100575.2555585871,99769.23859499519,293.8699257273728
2020-08-20,100282.16242537965,99326.09737971616,156.18929307059489
2020-08-21,100192.59285901445,99070.14526314096,150.4540319138696
2020-08-24,101338.00212267772,99585.88874469658,195.0103571219207
2020-08-25,101578.57198182787,99557.24752589605,241.11291340129426
2020-08-26,101629.8723293185,98970.17415303201,200.52772513911773
2020-08-27,102089.04174027662,99284.12533507713,193.74128584230755
2020-08-28,102695.60484746296,99423.44407371356,221.03244918040483
2020-08-31,102193.28268014712,99204.53543284653,233.2780055899376
2020-09-01,102795.82898135952,99098.10223235209,231.67674648562527
2020-09-02,104380.91913602446,99218.711446243,307.7389498632645
2020-09-03,101609.0603122028,99268.73283504907,248.42696502870803
2020-09-04,101305.48075273416,99597.81769287659,245.18124803288222
2020-09-08,98935.22751898436,99396.6793613455,249.49136727588655
2020-09-09,100471.99109786248,99400.64693830941,249.14918235464927
2020-09-10,98904.2253613651,99278.57927421747,263.39073123510246
2020-09-11,99035.20012236176,99368.3888906492,262.3056461095234
2020-09-14,100367.32749467812,99612.08271051901,265.9457921520844
2020-09-15,100514.4818367736,99342.41832562463,262.1243282792178
2020-09-16,100850.64681737566,100004.420226237,267.37627840371886
2020-09-17,100217.79284414584,100099.4524152943,263.28535118349083
2020-09-18,99360.7336927956,100203.52345746792,267.8005561782738
2020-09-21,97704.35128761106,99505.18655229761,278.6263470380017
2020-09-22,98442.9672855236,99378.59904511481,276.47292172582024
2020-09-23,96288.9179935348,99325.93722761683,293.91503442702776
2020-09-24,96205.81751785667,99000.02718222275,288.5934990856039
2020-09-25,97624.43013690312,99003.44428480287,289.0706602762677
2020-09-28,99394.85137343557,99267.35371191162,296.3092311642732
2020-09-29,99002.63617795263,99384.99305974464,300.2057181284441
2020-09-30,99793.32069638604,99456.1632191646,305.66085779634307
2020-10-01,100298.06028902896,99338.9818515684,309.2140264238738
2020-10-02,100034.87615123008,99972.63249108264,303.93443277366043
2020-10-05,101669.47589595578,100029.32000910945,284.7199992079688
2020-10-06,100629.28924533752,100261.94578238645,283.87520415855744
2020-10-07,102231.010654523,100415.88096574305,265.14553001096243
2020-10-08,103324.019388301,100761.71795139556,262.914631590477
2020-10-09,103827.9288240689,100524.26258799298,259.3706758535201
2020-10-12,104812.50712212882,100291.90422106453,233.22847358944227
2020-10-13,103918.36316507206,99941.6183252979,245.10121084561368
2020-10-14,103448.87024510551,99974.96584051613,245.56947429973678
2020-10-15,103797.66885255932,100406.09740585917,243.22292881948812
2020-10-16,103903.56426135094,100557.09303048457,256.20397893757126
2020-10-19,102359.21997777936,100319.97065744866,263.3262436548542
2020-10-20,102766.24398538627,100378.93437259484,270.8360587732768
2020-10-21,102263.92499766554,100045.9794279386,264.92373454868425
2020-10-22,103115.74444494228,100432.01595763616,260.9002804802521
2020-10-23,103496.9553808988,100512.8400336917,272.7467920403212
2020-10-26,101421.93420818924,100546.35264979603,352.57895044776143
2020-10-27,100305.41089484286,99817.72682940926,346.1914225087584
2020-10-28,97329.93134038096,100087.01489712433,301.7759481929579
