,Unhedged,Unhedged (Net),Hedged,Hedged (Net)
Annualized Return,0.13990265090236775,0.13995757493835503,0.003241527540947864,-0.08818093354216305
Annualized Volatility,0.17130796896935155,0.1713721807299585,0.04519119902734186,0.057694035066405774
Sharpe Ratio,0.8166733383395464,0.8166878331255797,0.07172917759908638,-1.5284237519644257
Sortino Ratio,1.1123394104357884,1.1123649614929394,0.11529499949682671,-2.3214507902511086
Calmar Ratio,0.5909690310310002,0.5909994914379966,0.037500769228387916,-0.23088064859773816
Maximum Drawdown,-0.23673431864660424,-0.23681505139338752,-0.08643896132386644,-0.3819329773964734
Rolling Sharpe Ratio,1.2304943776257746,1.2305197762176545,0.13176620157072735,-1.6294866683545624
Hit Rate,0.5404323458767014,0.5404323458767014,0.5204163330664532,0.4763811048839071
Win/Loss Ratio,0.9871904615556671,0.9871956958452606,0.93585405418684,0.8463818619745342
Time in Drawdown,0.8759007205764612,0.8759007205764612,0.9831865492393915,0.9943955164131305
Recovery Time,14.743243243243244,14.743243243243244,10.75,22.666666666666668
Skewness,-0.1390380650486239,-0.13899852952687564,0.2361561465938909,0.10490840067191722
Kurtosis,4.881840524746303,4.88116093050988,2.343131368827538,1.7197852451210975
VaR (95%),-0.0170297914028791,-0.017036421102592604,-0.004772780690274403,-0.006313323813516014
CVaR (95%),-0.02505157074840868,-0.025060961661605353,-0.006025365984653932,-0.008275825510913269
