feature,importance,rank
^VIX_MACD_signal,0.16260514158520772,1
TSLA_SMA_20,0.15509575342950205,2
^VIX_SMA_20,0.14800936922409708,3
GOOGL_MACD,0.1445576266748758,4
MSFT_RSI_14,0.06914802234064792,5
^VIX_Return_5d,0.06544565968070419,6
^VIX_BB_lower,0.05622158413009572,7
AMZN_Return_5d,0.048530651915888665,8
AAPL_SMA_20,0.03210639413536623,9
AMZN_MACD,0.026229148043551608,10
AMZN_RSI_14,0.022841138522147027,11
AAPL_Return_1d,0.02282777118468998,12
TSLA_MACD,0.019068564120732035,13
TSLA_Return_1d,0.017458179717127542,14
GOOGL_Return_1d,0.009854995295366637,15
