Date,adj_close,High_SPY,Low_SPY,Open_SPY,Volume_SPY,date,next_close,next_ret,sentiment_score,article_count,sent_1d,sent_3d_mean,sentiment_bin
2023-01-03,368.168701171875,373.5923159524912,365.27801256426113,371.60075403090605,74850700,2023-01-03,371.010986328125,0.007690414692440699,0.0,0.0,0.0,0.0,Medium
2023-01-04,371.010986328125,373.06055235747476,367.3758891417353,370.4502381857599,85934100,2023-01-04,366.77655029296875,-0.01147886707358502,0.0,0.0,0.0,0.0,Medium
2023-01-05,366.77655029296875,369.154817908634,366.1771521503314,369.038809171833,76970500,2023-01-05,375.1874694824219,0.022673011832846438,0.0,0.0,0.0,0.0,Medium
2023-01-06,375.1874694824219,376.3186135568416,366.8055145734649,369.899188748885,104189600,2023-01-06,374.97479248046875,-0.000567016013561441,0.0,0.0,0.0,0.0,Medium
2023-01-09,374.97479248046875,380.6208063538123,374.7911316610883,377.40141658848563,73978100,2023-01-09,377.60443115234375,0.006988365586815243,0.0,0.0,0.0,0.0,Medium
2023-01-10,377.60443115234375,377.67211274573543,373.43761710059596,374.3850708968416,65358100,2023-01-10,382.38031005859375,0.012568520173246783,0.0,0.0,0.0,0.0,Medium
2023-01-11,382.38031005859375,382.45766887856325,378.37786148565715,379.1996293012979,68881100,2023-01-11,383.77252197265625,0.0036342969398039564,0.0,0.0,0.0,0.0,Medium
2023-01-12,383.77252197265625,385.25169242505757,379.38336725994174,383.49217735036206,90157700,2023-01-12,385.2612609863281,0.0038717177486039447,0.0,0.0,0.0,0.0,Medium
2023-01-13,385.2612609863281,385.841334030343,380.27268001378525,380.54337683382676,63903900,2023-01-13,384.5555114746094,-0.0018335524366013911,0.0,0.0,0.0,0.0,Medium
2023-01-17,384.5555114746094,386.9338080632469,383.86910693255936,385.2419455204007,62677300,2023-01-17,378.4841613769531,-0.015913925436509394,0.0,0.0,0.0,0.0,Medium
2023-01-18,378.4841613769531,386.82746578377805,378.2811461230408,385.7543556522129,99632300,2023-01-18,375.7288818359375,-0.007306401879433878,0.0,0.0,0.0,0.0,Medium
2023-01-19,375.7288818359375,378.0877946809782,374.39472253168697,376.4249341646831,86958900,2023-01-19,382.7283630371094,0.01845767830966197,0.0,0.0,0.0,0.0,Medium
2023-01-20,382.7283630371094,382.8830511722103,375.47752266281964,377.1403832354732,91806400,2023-01-20,387.3205871582031,0.011927238028795119,0.0,0.0,0.0,0.0,Medium
2023-01-23,387.3205871582031,389.2734696714771,382.5736998103286,383.54047858984484,84178800,2023-01-23,386.9048156738281,-0.001074032246479479,0.0,0.0,0.0,0.0,Medium
2023-01-24,386.9048156738281,387.823237660935,384.4298647659786,385.62866081404076,59524900,2023-01-24,387.04986572265625,0.00037482827874267815,0.0,0.0,0.0,0.0,Medium
